gamma,noisy,first_order,second_order
0.0001,-129.18115282023152,-129.18871413043993,-129.18870159409437
0.0002,-129.1735915100237,-129.18875166250504,-129.18870170180537
0.0005,-129.15083257674215,-129.18901230343266,-129.18870348778444
0.001,-129.11265285005163,-129.1899293157063,-129.18871665303197
0.002,-129.03537638439695,-129.1934935988035,-129.18881920195207
0.005,-128.7964762991859,-129.2165258444995,-129.19042072693532
0.01,-128.37642675387232,-129.28697436307652,-129.2011644627476
0.02,-127.46587914466812,-129.49351174900397,-129.2674762562974
0.03,-126.48031727908861,-129.7270901071676,-129.37940445031973
0.05,-124.35304296567469,-134.15096476705963,-117.76954022578678
0.1,-114.55512116430187,-138.0040340695912,-126.56728081482191
