gamma,noisy,first_order,second_order
0.0001,-66.03288391781109,-66.03523087197298,-66.03523104797782
0.0002,-66.03053696365012,-66.0352303623949,-66.0352310221626
0.0005,-66.02349710560293,-66.03522729269837,-66.03523059732962
0.001,-66.01176691850816,-66.03521959816275,-66.0352275109789
0.002,-65.98831423885409,-66.0352127451277,-66.03520419306622
0.005,-65.91795695392153,-66.03557796829831,-66.03487532016811
0.01,-65.8003359395446,-66.03905192912745,-66.03311088006339
0.02,-65.56161994996118,-66.06272504709007,-66.02633154975837
0.03,-65.31561658856292,-66.11134452437994,-66.01931159913684
0.05,-64.79543438020151,-66.28761059850436,-65.99438248084888
0.1,-63.303258161897375,-67.30040796105098,-65.88147010387277
