gamma,noisy,first_order,second_order
0.0001,-14.619592335097018,-14.620635693558013,-14.620635689888893
0.0002,-14.618548976635187,-14.62063570463963,-14.620635689784358
0.0005,-14.615418879022046,-14.620635784379468,-14.620635687889468
0.001,-14.610201973666012,-14.620636083700768,-14.620635674064324
0.002,-14.599767863630142,-14.620637391405044,-14.620635564004203
0.005,-14.568462855496929,-14.62064865469925,-14.620633769047444
0.01,-14.516277056293777,-14.620702568469257,-14.620620950048014
0.02,-14.411851544119138,-14.621015413608127,-14.620528084069129
0.03,-14.307330525566474,-14.62171809177047,-14.620308214565597
0.05,-14.097899016653791,-14.624701566234862,-14.619454227664903
0.1,-13.571096467073016,-14.642838733931367,-14.617377673387125
