gamma,noisy,first_order,second_order
0.0001,-56.80649941474397,-56.81374038929064,-56.81374113550055
0.0002,-56.79925844019729,-56.81373815915424,-56.81374112363258
0.0005,-56.777539970054754,-56.81372277805864,-56.81374092637478
0.001,-56.74135716205087,-56.81366937828196,-56.81373946671653
0.002,-56.66904494581978,-56.81346732077026,-56.81372803423989
0.005,-56.452505948705934,-56.81226728942389,-56.81354900264782
0.01,-56.092744607987974,-56.80928749039868,-56.81237571340955
0.02,-55.37620172557727,-56.80539146010555,-56.80540449947222
0.03,-54.66160522839275,-56.81083042867945,-56.79282250413533
0.05,-53.2309605126391,-56.86055308743436,-56.76437191865614
0.1,-49.60136793784384,-57.102002470298125,-56.8851979703464
