gamma,noisy,first_order,second_order
0.0001,88.80320860373652,88.80647801742003,88.80647510214081
0.0002,88.79993919005301,88.80648678676947,88.80647506927409
0.0005,88.79011339160208,88.80654880218502,88.80647453323584
0.001,88.77367798101913,88.80677437446568,88.80647070257154
0.002,88.74058158757259,88.80770578603428,88.80644279298582
0.005,88.6394143884086,88.81468639124596,88.80610152457947
0.01,88.46414238557124,88.8414269989632,88.80504456261576
0.02,88.08685777217927,88.94728101884522,88.81273919721761
0.03,87.67346387654746,89.09728152795151,88.85657242471163
0.05,86.75016202233066,87.48426838849929,94.83875383176587
0.1,86.01605565616202,90.17991447824299,89.81404181637296
