gamma,noisy,first_order,second_order
0.0001,-79.61771167505094,-79.65267838967573,-79.65268770241411
0.0002,-79.58274496042615,-79.65265049508643,-79.65268764123272
0.0005,-79.47790057064138,-79.65245643598479,-79.65268659630362
0.001,-79.30334470529634,-79.65177169902861,-79.65267848807713
0.002,-78.95491771156259,-79.64910000254166,-79.65260937507645
0.005,-77.91493954038773,-79.63184947426555,-79.65129397311131
0.01,-76.19802960651032,-79.5811593325527,-79.64048694943932
0.02,-72.81489988046681,-79.45938406309985,-79.56692347043852
0.03,-69.47921536323202,-79.37616939572162,-79.45086360870587
0.05,-62.8742574203846,-83.8955366326893,-92.41980898499767
0.1,-41.85297820807991,-77.86611298427391,-78.04739718650622
