gamma,noisy,first_order,second_order
0.0001,-79.03122755959065,-79.03529381288963,-79.03529461745359
0.0002,-79.02716130629166,-79.03529141365507,-79.03529459717541
0.0005,-79.01496733326516,-79.03527501388862,-79.03529425691238
0.001,-78.9946596526417,-79.03521911148584,-79.03529169593384
0.002,-78.95410019379756,-79.03501611328386,-79.03527099083459
0.005,-78.8328159317723,-79.03400180738606,-79.03491885825196
0.01,-78.63163005615998,-79.03312605175267,-79.03230823740051
0.02,-78.2301340605674,-79.04920222638269,-79.01401974362875
0.03,-77.82499778800394,-79.10917357928159,-78.97693549091946
0.05,-76.98410163789133,-79.40170231675714,-78.88233096016555
0.1,-74.56650095902552,-80.91969757208804,-79.12129521506702
