gamma,noisy,first_order,second_order
0.0001,40.096548511591095,40.089236148042254,40.08923541775884
0.0002,40.10386087513994,40.08923833829877,40.089235418626544
0.0005,40.12579358576944,40.08925365317571,40.089235433182324
0.001,40.16233351836318,40.089308234960434,40.08923554271988
0.002,40.23535880176592,40.08952568147625,40.089236426954
0.005,40.454000266496536,40.09103037549706,40.089251597891405
0.01,40.81697015749603,40.0962827171342,40.08937043222271
0.02,41.53765759785946,40.11629510011311,40.09040401391155
0.03,42.25157523250906,40.1473839319492,40.093446630581525
0.05,43.66030718686432,40.234401337748295,40.110271001924445
0.1,47.08621303598035,40.50689389927113,40.2422679158617
