gamma,noisy,first_order,second_order
0.0001,-123.01662917977443,-123.03953667961743,-123.03954871200841
0.0002,-122.99372167993143,-123.03950080258672,-123.03954840401491
0.0005,-122.92507075870097,-123.03925562143807,-123.0395432962427
0.001,-122.81088589596328,-123.03841957458663,-123.03950565959144
0.002,-122.58335221734038,-123.03537129643175,-123.03921399214903
0.005,-121.90668389045521,-123.01936971872281,-123.03486320083891
0.01,-120.79399806218761,-122.99161168991589,-123.01065020938682
0.02,-118.59638443445934,-123.00483505060011,-122.93738953898236
0.03,-116.40058981534159,-123.09201949268744,-122.93676524533663
0.05,-111.9562354754627,-115.32615177563066,-187.31813656761364
0.1,-108.58631917529475,-132.8419524205205,-130.92225730566446
