gamma,noisy,first_order,second_order
0.0001,-27.911891334461018,-27.907967121674236,-27.907966695646465
0.0002,-27.915815547247377,-27.90796839879851,-27.90796669699067
0.0005,-27.927585632129738,-27.907977312535515,-27.907966719462678
0.001,-27.94719395172396,-27.908008971968723,-27.90796688709196
0.002,-27.986378931479198,-27.908134271767043,-27.90796822252689
0.005,-28.10368403266429,-27.90898560193706,-27.90799026746842
0.01,-28.298382463392905,-27.911855980996584,-27.90815121969119
0.02,-28.68490894578784,-27.922086414318038,-27.909372291671232
0.03,-29.067909476853284,-27.936676662408168,-27.912448335913083
0.05,-29.824705155798664,-27.972354078570337,-27.925994854550282
0.1,-31.677056233027272,-28.054425000647193,-27.992687411004766
