gamma,noisy,first_order,second_order
0.0001,-53.838584885740175,-53.841748046324696,-53.84174642776415
0.0002,-53.835421725155655,-53.84175289710987,-53.8417464345753
0.0005,-53.82592254571711,-53.84178672078257,-53.8417465477049
0.001,-53.81005837065042,-53.84190664061897,-53.84174738485848
0.002,-53.77821010068157,-53.84237969637892,-53.84175395015211
0.005,-53.68172289532827,-53.84556730366459,-53.84185794019049
0.01,-53.51787848699181,-53.856176109534815,-53.84257126403256
0.02,-53.179580864449235,-53.89332737052765,-53.847547911319
0.03,-52.82843004381239,-53.945552000746666,-53.85931520927079
0.05,-52.09307206409762,-54.07245218660959,-53.90700027817226
0.1,-50.113691941586225,-54.697242747239095,-53.20175915489975
