gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-57.00090391878765,-57.00676654359113,-57.006766438481094,-57.006733679610335,-57.00676637999373
0.0002,-56.99504129398417,-57.00676685995652,-57.006766437041136,-57.00663586946261,-57.00676597079987
0.0005,-56.97745278601936,-57.0067691026718,-57.00676641262487,-57.00595903878917,-57.00675920285846
0.001,-56.94813646936731,-57.006777305957954,-57.006766225018396,-57.00359325596641,-57.00670953709299
0.002,-56.88949563277547,-57.00681166534729,-57.006764642308326,-56.99450633634595,-57.006326582674056
0.005,-56.71350347650984,-57.00708554516968,-57.006734113054875,-56.93741040755174,-57.00056494546043
0.01,-56.41992140784951,-57.00833358131689,-57.006450215976315,-56.768652757067166,-56.96490430716194
0.02,-55.83150923438118,-57.016001547086866,-57.00348860926016,-56.275265287423444,-56.76577697700502
0.03,-55.240827195256756,-57.035329408615105,-56.994753017605746,-54.93829229005675,-56.409453741706905
0.05,-54.04914868988026,-57.12472472953421,-56.966177095868574,-53.38145248602887,-58.40270676693349
0.1,-50.97357265022636,-57.3562744300959,-56.9751513182496,-50.6674880451322,-57.247743251085055
