gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-87.92304164478396,-87.92735987080657,-87.92735420836746,-87.9273213595983,-87.92735412939551
0.0002,-87.91872341876254,-87.92737683917122,-87.92735423489933,-87.92722342062719,-87.92735360551941
0.0005,-87.90573481911426,-87.92749510314061,-87.92735467716076,-87.92654778808408,-87.92734495409154
0.001,-87.8839745350879,-87.92791402515982,-87.9273579727533,-87.92419930079554,-87.92728164925654
0.002,-87.84003504501598,-87.92956344092264,-87.9273841742777,-87.91526634313205,-87.926796377236
0.005,-87.70493267603685,-87.94060408898925,-87.92781659067066,-87.86032604189685,-87.91962511256936
0.01,-87.46926126308396,-87.97668177495328,-87.93100648331662,-87.70192241270024,-87.87672497126061
0.02,-86.96184075121458,-88.09604700966216,-87.95533927141398,-85.98396642009862,-87.65100530234125
0.03,-86.41232608927135,-88.24779989932145,-88.01178018782173,-85.05792790645246,-91.42048887010577
0.05,-85.21403693678636,-88.28406252432028,-89.02969209211298,-82.66219164122543,-92.36676501867582
0.1,-82.14401134925244,-87.67638325084573,-90.60762284335456,-75.63130579289631,-93.73714208647796
