gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,8.916978862823303,8.916574072305625,8.916574050894972,8.916574487188614,8.91657405105658
0.0002,8.91738365334098,8.91657413649643,8.916574050937701,8.91657579477495,8.916574052189164
0.0005,8.918597896532821,8.916574585101435,8.916574051574568,8.916584925951975,8.916574071069405
0.001,8.920621207964489,8.91657618228132,8.916574056339908,8.916617390562898,8.916574211699716
0.002,8.924666233648217,8.916582533158973,8.916574094005597,8.91674613650115,8.91657532773509
0.005,8.936788630377167,8.916626267901416,8.916574707356364,8.917626275174655,8.916593558472309
0.01,8.95695099285346,8.91677779255673,8.91657907762109,8.920634659511016,8.916724389190174
0.02,8.997124193150476,8.917350742460647,8.916610793399254,8.931727567035372,8.917690542831535
0.03,9.037103412127792,8.918243351712993,8.916686905749778,8.94847728735695,8.92007398943029
0.05,9.116515146497077,8.920837283269758,8.917000948968258,8.99479028581948,8.930581254384357
0.1,9.312193009724396,8.931112921268632,8.918418958965852,9.154714463894962,8.99562198746261
