gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,113.61079606054199,113.66072702543558,113.66074327699499,113.65968005391606,113.66073794637731
0.0002,113.5608650956484,113.66067837854348,113.66074312566883,113.65653297155787,113.66070057118971
0.0005,113.41116940776901,113.66034084482392,113.66074051262962,113.63522020109413,113.66008059046656
0.001,113.16199797071366,113.65915639095742,113.66071990239038,113.5637815747513,113.65552593924095
0.002,112.6648395504699,113.65459189760686,113.66054007544426,113.31109450981619,113.62084192062778
0.005,111.1823868569806,113.62647602917924,113.65704730202145,111.31911528027855,113.1578178723808
0.01,108.73829768478222,113.55415921885096,113.63028701950196,108.96979101826543,112.65365328581952
0.02,103.92243615071284,113.43515306696668,113.50105529439952,104.44165376238224,108.54330591606754
0.03,99.15783991415724,117.22204102579138,101.93493661904074,100.09732948732552,104.11683929967806
0.05,89.66304939343314,119.20543941515623,132.2865123780772,91.6823327764687,96.19977536355051
0.1,60.12065937170332,113.22453838388357,110.58839766552484,70.71989493876467,78.72310865270136
