gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-66.78833809273878,-66.80833832004394,-66.80834446513981,-66.80815514563356,-66.80834402922828
0.0002,-66.76833786543344,-66.80831992099591,-66.80834441441235,-66.80759070088762,-66.80834093277338
0.0005,-66.70837395263719,-66.80819211240508,-66.80834356774616,-66.80369928313797,-66.80828944010796
0.001,-66.60855579286978,-66.80774226034052,-66.80833725205903,-66.79019698287814,-66.80790812783397
0.002,-66.40936932539744,-66.80599322026222,-66.80828701492302,-66.73911921472748,-66.80492359070129
0.005,-65.81527938728382,-66.7947147003543,-66.80746563717142,-66.43289029833936,-66.75890313121907
0.01,-64.83584407421353,-66.76065703971855,-66.80168823393933,-65.60843195100506,-66.47652059593814
0.02,-62.911031108708045,-66.66607888051058,-66.76401879619766,-63.28552928451027,-66.32767290938001
0.03,-61.02126473334493,-66.57390710879234,-66.69438914935446,-61.520264596013774,-64.98355402375466
0.05,-57.30703814183578,-62.09753275331371,-79.60953899945025,-58.12794945083329,-61.668424936613924
0.1,-52.51654353032434,-80.45983201916896,-104.3263876978415,-50.25721645447464,-53.983996020701085
