gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-61.58824253493966,-61.594595252492,-61.59459623563103,-61.594547402400934,-61.594596114403444
0.0002,-61.58188981738795,-61.594592312853145,-61.59459622192654,-61.5944018752407,-61.59459525686432
0.0005,-61.56283753617124,-61.59457200169984,-61.59459599294951,-61.593399525527964,-61.5945811370622
0.001,-61.53110307064264,-61.59450124841566,-61.59459428551608,-61.58992595337829,-61.594478354315285
0.002,-61.46770489286961,-61.59423184528334,-61.59458071694479,-61.57679419618443,-61.5936981851927
0.005,-61.27804144153044,-61.592606012021314,-61.59435982184277,-61.49751455225092,-61.58247019900927
0.01,-60.96347687103806,-61.58846427959649,-61.59282144227274,-61.27765852815125,-61.51819357673599
0.02,-60.338489462478805,-61.58290610284407,-61.58291289771262,-60.55998606833986,-61.20490297344401
0.03,-59.71628029293724,-61.590884865445474,-61.564513710359705,-59.983474837906144,-63.26841424997397
0.05,-58.4697195908238,-61.66119466415853,-61.528331873024285,-58.833761464005434,-63.07005003727318
0.1,-55.27824451748829,-61.99975141957934,-61.65977697504246,-55.84062233612566,-61.276302741114186
