gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-45.9225807345857,-45.93555596371764,-45.93555665357819,-45.93546959206223,-45.935556490587416
0.0002,-45.9096055054541,-45.93555389493946,-45.9355566524729,-45.935209707207285,-45.935555352135545
0.0005,-45.87068395498695,-45.93553943509562,-45.935556633678075,-45.93341240175041,-45.93553648222945
0.001,-45.805828474878986,-45.93548794307738,-45.935556487072574,-45.92713788009847,-45.93539748771771
0.002,-45.676169006681434,-45.935283198856176,-45.935555222611995,-45.90310460295904,-45.93431844358615
0.005,-45.287599342998334,-45.93387723908882,-45.93552998110562,-45.75357489229257,-45.91782694291939
0.01,-44.64132144690793,-45.92908061435614,-45.935293518189,-45.32152565818516,-45.81412183550372
0.02,-43.35356227945914,-45.912086391450636,-45.93289439572884,-43.25023490032655,-45.23815197163806
0.03,-42.071699222928764,-45.88909652721261,-45.92570859676971,-41.886889506148954,-45.855564563452916
0.05,-39.52282643472713,-45.842237953744764,-45.89245931563532,-39.22932960737247,-44.047483913535245
0.1,-33.20341491570866,-45.80381646508637,-45.776629169176076,-32.90015696150941,-37.954832605280394
