gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,107.82971508767629,107.85045554708722,107.8504613087411,107.85016311592724,107.85046005277061
0.0002,107.80897462826597,107.85043834778442,107.850461188829,107.84927856204912,107.85045121211853
0.0005,107.74678758015314,107.85032027733916,107.85045919278735,107.84325355042976,107.85030660633328
0.001,107.64325488296711,107.84991412653366,107.85044438808563,107.82280305562242,107.84926683434165
0.002,107.43659563940057,107.84840679825531,107.85032807312712,107.74841099253553,107.84157155998717
0.005,106.81956675214532,107.84003686130923,107.8485098153713,107.34043201614196,107.73937474335636
0.01,105.79909664298141,107.82314526948875,107.8371237958126,106.12904381499395,107.24193770713305
0.02,103.77504801647407,107.82463810803428,107.78562518651489,104.15706420680894,107.79811853681903
0.03,101.75512958588222,107.8919573256998,107.746787246407,102.26337761495849,106.39417198012472
0.05,97.68006939111537,108.09796568708681,107.8666719972368,98.66424128322237,103.30043875205266
0.1,87.26217309514341,108.15652510409382,108.50700373117681,89.5734882120192,97.05671577567357
