gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-129.18115281811683,-129.18871413467627,-129.188701594108,-129.18861633457445,-129.18870128832933
0.0002,-129.17359150155804,-129.18875167934837,-129.18870170190633,-129.1883628947946,-129.18869926958877
0.0005,-129.15083252405992,-129.1890124068277,-129.188703489332,-129.18662672843277,-129.18866612966224
0.001,-129.11265264129216,-129.18992971708397,-129.1887166650743,-129.18066826402355,-129.18842621990245
0.002,-129.03537556550035,-129.19349511081307,-129.18881929323965,-129.15851537807652,-129.18662541589725
0.005,-128.79647147273116,-129.21653370442291,-129.19042197753498,-129.02937648841439,-129.1615652560231
0.01,-128.3764092410394,-129.28699655696533,-129.20117320302353,-128.68449635013044,-129.02659017977444
0.02,-127.46582192511345,-129.49353859026638,-129.26753117734347,-126.22456055850627,-132.28732739700206
0.03,-126.48021451915155,-129.7270570233212,-129.37951287202253,-124.84000741022939,-132.93350156269014
0.05,-124.35287782613749,-134.1510529991691,-117.76855901532662,-121.57818146142296,-133.02955702828837
0.1,-114.55470265310589,-138.00327307032387,-126.56891488202376,-110.70225979621284,-132.62684789730207
