gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-25.74072174917056,-25.73742884483152,-25.737428317606856,-25.737439241866415,-25.737428328899146
0.0002,-25.744014653509602,-25.737430425630098,-25.737428318845886,-25.73747192368829,-25.737428409021007
0.0005,-25.753890205641532,-25.737441466984603,-25.737428339689117,-25.7376991515526,-25.737429740326895
0.001,-25.77033894429918,-25.737480737773883,-25.737428495141344,-25.738500430841412,-25.737439590616468
0.002,-25.80319715082241,-25.737636580609706,-25.73742973276903,-25.74162909257415,-25.737516765855535
0.005,-25.90146079027266,-25.738703621014732,-25.73745012985043,-25.762138674579834,-25.738731847829516
0.01,-26.064217959531014,-25.742357327958324,-25.73759866944488,-25.82715753282065,-25.74688643127517
0.02,-26.386078591104962,-25.755819977007473,-25.738721486789387,-26.037676533302783,-25.7996972349762
0.03,-26.703345209431667,-25.775997776918217,-25.741544532180313,-26.312580688975583,-25.91083974179225
0.05,-27.325357638648978,-25.83042484311665,-25.754072236104705,-27.306151793254653,-26.292509260697084
0.1,-28.82029043418175,-26.002124472436382,-25.82506857228769,-28.539586776336773,-24.59938333161268
