gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,160.53862766779523,160.59309022041307,160.5931374374838,160.59187924930526,160.59313086741838
0.0002,160.48416511517573,160.59294920176393,160.59313655259325,160.58815781172103,160.59308397100642
0.0005,160.32105898983235,160.59197916820875,160.5931219090109,160.5630124054356,160.5923011029908
0.001,160.0501388114595,160.5886281473466,160.59301423983408,160.47915548043136,160.58650206664453
0.002,159.5116494755688,160.576070860031,160.5921787753203,160.18596474911925,160.5420550644945
0.005,157.92082541327096,160.50365164652507,160.57938614185366,158.02497925162314,159.96243533875332
0.01,155.3379991800183,160.3341721503816,160.50365155538037,155.71125672018402,159.31328114401146
0.02,150.3418262096554,160.07519593490952,160.2224686331159,151.04063097924376,155.13990719428028
0.03,145.45673225975216,156.71365654211291,151.5032467006701,146.37877218847768,150.54434897423684
0.05,138.4153016207193,159.2858494917503,160.28786173491613,137.34905088364474,141.37198258987405
0.1,117.54475374968831,200.44042254615627,272.03473678251953,115.95367299597766,121.50966241746977
