gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,70.15403272229673,70.15483778367329,70.1548363987859,70.15483103763844,70.15483638743825
0.0002,70.15322766092018,70.15484193349164,70.1548364055707,70.15481503938152,70.15483631502397
0.0005,70.15080418104274,70.15487084988021,70.15483651957828,70.15470442583211,70.1548351156292
0.001,70.14673751220528,70.15497323006181,70.15483737534703,70.15431831960622,70.15482628871482
0.002,70.13850179434874,70.15537587928458,70.15484426590743,70.15283820202421,70.154757886734
0.005,70.11299329000137,70.15805963018636,70.15496072868413,70.1435522380438,70.15371741894663
0.01,70.06792694981638,70.16673192765434,70.15583438419384,70.11590358270784,70.14719973913901
0.02,69.96912197197842,70.19452692157004,70.16262385077621,69.71949418779307,70.11040474389146
0.03,69.86040738103183,70.22730873479549,70.17930578131813,69.69620646161349,66.02832449888083
0.05,69.62087388565925,70.282219084175,70.22954367808299,69.55887474402297,64.25172622608187
0.1,68.95952868714282,71.25125506934369,70.69317524656117,68.8785966516757,76.55432659747198
