gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-76.04203055011222,-76.06464527955717,-76.0646486357351,-76.06439719380614,-76.06464789702503
0.0002,-76.01941582066726,-76.06463523173741,-76.0646486067939,-76.06364876796785,-76.06464271764668
0.0005,-75.95159171144654,-76.06456545804247,-76.06464812490566,-76.0585089953077,-76.06455707648946
0.001,-75.83861796485061,-76.06432001788944,-76.06464454605879,-76.04080259790273,-76.06392928463454
0.002,-75.61291591181178,-76.06336666497282,-76.06461631919359,-75.97468854166526,-76.05910934814881
0.005,-74.93770044635109,-76.05722813422393,-76.06416573109104,-75.59035433302458,-75.98854900251833
0.01,-73.81817275847726,-76.03864472073063,-76.06112386492157,-74.59792790737457,-75.59002995408487
0.02,-71.59770079622373,-75.98550151631844,-76.04247222251672,-71.52101057132572,-75.49481884913558
0.03,-69.39667909789969,-75.92907715532624,-76.00831841107052,-69.26378968760838,-73.83798050527672
0.05,-65.03341551275577,-75.84440232693285,-75.91111438435152,-64.9048666654957,-69.77556148133861
0.1,-54.222428698577694,-75.87887471195884,-75.71570081963775,-54.56243799413596,-59.96343906711564
