gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-79.03122761318599,-79.03529381280676,-79.03529461746186,-79.03525671748714,-79.03529450211877
0.0002,-79.02716141356522,-79.03529141330357,-79.03529459719357,-79.03514394605975,-79.0352936803846
0.0005,-79.01496760211667,-79.03527501143168,-79.03529425712486,-79.03437012188061,-79.03528020618924
0.001,-78.99466019280166,-79.03521909999,-79.0352916975647,-79.03170684119404,-79.03518285007803
0.002,-78.95410128561332,-79.03501605487114,-79.03527100273521,-79.02176215682641,-79.03445439122362
0.005,-78.83281877794609,-79.03400125488822,-79.03491898969557,-78.96346109653642,-79.02437583498181
0.01,-78.63163630100571,-79.03312315778189,-79.03230864128096,-78.80848608166532,-78.97032181464665
0.02,-78.23014944422911,-79.04919138444698,-79.01401643609526,-78.49823870978759,-78.73173576266512
0.03,-77.82502534266445,-79.10915921828831,-78.97691834107431,-78.13459495060405,-81.88918247500747
0.05,-76.9841576567021,-79.40171216456864,-78.88228498880306,-77.48816156269552,-82.13263910094894
0.1,-74.56660314883555,-80.91983298150708,-79.1213290772697,-75.67249618128027,-81.47322686788146
