gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-66.03288391710959,-66.0352308710965,-66.03523104797824,-66.03521336960344,-66.03523100600789
0.0002,-66.03053696312324,-66.03523035892088,-66.03523102213421,-66.03516068605373,-66.03523068818075
0.0005,-66.02349711078156,-66.03522727156962,-66.03523059684949,-66.03479795231253,-66.03522546286966
0.001,-66.01176694999471,-66.03521951747406,-66.03522750718315,-66.03354173682504,-66.03518752812091
0.002,-65.98831438251524,-66.03521245205738,-66.03520416392882,-66.02879754065991,-66.0349010217969
0.005,-65.9179578447136,-66.03557664536899,-66.03487492237142,-66.00019982355137,-66.0308293698867
0.01,-65.80033904405825,-66.03904940642128,-66.0331084376345,-65.92079699298387,-66.00792023553099
0.02,-65.56162868169484,-66.06272856786407,-66.02632241017511,-65.70512302644393,-65.89796200705332
0.03,-65.3156295083205,-66.11136316032493,-66.01930512123315,-65.70203579349139,-69.15310873244091
0.05,-64.79544611561487,-66.28764618550693,-65.99442656271327,-65.42049621591997,-70.210952384788
0.1,-63.30324604572306,-67.3003902954095,-65.88148381717096,-63.0209301748502,-71.68011271830505
