gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-104.59642704528706,-104.62759421284542,-104.62760009161218,-104.62711971696191,-104.62759809131042
0.0002,-104.56525987772869,-104.62757663180246,-104.62760001427296,-104.62569452679807,-104.6275840982464
0.0005,-104.47179349296746,-104.62745506475882,-104.62759872523202,-104.61598427954058,-104.62735410675181
0.001,-104.31613192117611,-104.62703094126697,-104.62758913635764,-104.58302422815399,-104.62568690200331
0.002,-104.00523290108525,-104.62541066580981,-104.62751332638106,-104.4632955109715,-104.61317935618995
0.005,-103.07573335335144,-104.61550704813149,-104.62630213966969,-103.81246795618009,-104.44308795710361
0.01,-101.53595965857164,-104.58902376476883,-104.61831481218036,-101.53543488953471,-104.74466474858947
0.02,-98.4828955523748,-104.53519185428128,-104.57590849710982,-98.40890915129619,-102.82396776464263
0.03,-95.45165782106821,-104.50851064436135,-104.52177408145408,-95.37383281443752,-100.0077280650468
0.05,-89.41280237302234,-104.51890562846883,-104.47866326579546,-89.48023647322445,-94.10154550745233
0.1,-74.306699117576,-104.55444958744289,-104.58185719760863,-74.93411424723364,-81.14304678534387
