gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-4.945523570281242,-4.944688038614451,-4.944688022857342,-4.944688493195032,-4.944688022937562
0.0002,-4.946359101948033,-4.944688085888123,-4.94468802287027,-4.9446899035741,-4.944688023489731
0.0005,-4.94886560240516,-4.94468841669178,-4.944688022933585,-4.944699765522708,-4.944688032697492
0.001,-4.95304278811854,-4.944689597560599,-4.944688023486258,-4.944734914961553,-4.944688101461172
0.002,-4.961395978676482,-4.944694316623815,-4.94468802789811,-4.9448749649749235,-4.944688649966492
0.005,-4.986446114744585,-4.94472726433502,-4.944688101693767,-4.945844773842231,-4.944697741072923
0.01,-5.028164965153311,-4.944844357819464,-4.94468865408704,-4.949238840391276,-4.944764704650979
0.02,-5.111485572487433,-4.9453083072198805,-4.944693082782877,-4.962302266562289,-4.945284678808472
0.03,-5.194651108174868,-4.946072265109683,-4.944705132230114,-4.983054148553171,-4.946646068613199
0.05,-5.360522028883998,-4.948469646553563,-4.944767503513031,-5.044694897015654,-4.953252269055565
0.1,-5.772574411214294,-4.959176310373179,-4.945327891277266,-5.288673772516486,-5.003906172582121
