gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-17.077607904829666,-17.081133792973194,-17.081133900354608,-17.081128666485366,-17.081133898502944
0.0002,-17.074082016686138,-17.081133470905083,-17.081133900245575,-17.0811129797598,-17.081133885437954
0.0005,-17.06350499632908,-17.081131218537134,-17.081133898436036,-17.081003426383955,-17.081133667144464
0.001,-17.045878774121025,-17.081123188438482,-17.081133885037687,-17.08061386841297,-17.081132035727435
0.002,-17.010634359803568,-17.081091174464362,-17.081133779202624,-17.07906865737167,-17.081119003311024
0.005,-16.904965084741125,-17.0808690866551,-17.081132081939707,-17.068503539342586,-17.080902240588657
0.01,-16.72906108282715,-17.080088626412053,-17.081120376150814,-17.03243186990104,-17.079299570378
0.02,-16.37803353924225,-17.07705163228662,-17.08104262184039,-16.90026620486029,-17.06687349586486
0.03,-16.02802561902639,-17.072131361577377,-17.08088356012587,-16.70330047417958,-17.034808963013024
0.05,-15.330984960960976,-17.056818644845126,-17.080483057772177,-16.173131472371374,-16.886991885732627
0.1,-13.605151277076825,-16.984961717569384,-17.082685736647793,-13.642664465290645,-16.83643453881209
