gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-79.61771167587159,-79.65267838620116,-79.65268770241471,-79.65216379008115,-79.65268585931989
0.0002,-79.58274496554202,-79.6526504812039,-79.65268764121097,-79.65060680328709,-79.65267291847657
0.0005,-79.47790060944891,-79.6524563495865,-79.6526865959878,-79.63995726245433,-79.65245771370064
0.001,-79.30334486930991,-79.65177135620401,-79.65267848513164,-79.60356957813191,-79.65086619627891
0.002,-78.95491838241412,-79.64909865828803,-79.65260934529309,-79.47002839484655,-79.63850136982671
0.005,-77.91494371772062,-79.63184180370392,-79.6512932498438,-78.7320142085773,-79.45724075500044
0.01,-76.19804563173692,-79.58113579630098,-79.64047889186926,-76.3763142716788,-79.45215686351723
0.02,-72.81495546717136,-79.45935629343391,-79.56686057370686,-73.1791574259769,-77.1386822407648
0.03,-69.47931701900515,-79.3762105455479,-79.4507484918231,-70.0981841507975,-74.10377313297788
0.05,-62.874416757025436,-83.89611500177286,-92.42247453666349,-64.19699697556945,-68.12750222003807
0.1,-41.85271851227802,-77.8654912659329,-78.04876336120498,-50.04902135856323,-55.58970929360481
