gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-25.94992647374039,-25.95492497414869,-25.954925556078862,-25.95490827573752,-25.954925539418362
0.0002,-25.944927973332675,-25.954923229513867,-25.954925554434865,-25.95485656891679,-25.95492542125761
0.0005,-25.929935960421542,-25.954911049552226,-25.954925526436142,-25.954496902695656,-25.954923454875864
0.001,-25.904960871290143,-25.95486776875859,-25.954925316460617,-25.953227557972646,-25.95490886573667
0.002,-25.855053973820187,-25.954696331939694,-25.954923624973176,-25.94826398790778,-25.954793961624087
0.005,-25.705675185351936,-25.953529475049628,-25.95489483586708,-25.91561424888163,-25.952958963505896
0.01,-25.45782089565603,-25.949590522020166,-25.954673597104943,-25.81164288573357,-25.940357899077938
0.02,-24.96605126929093,-25.935638141460814,-25.952849262571647,-25.473789249256722,-25.85584797522646
0.03,-24.47910644306641,-25.916204942618243,-25.947916665239653,-25.032722127090782,-25.67280297619621
0.05,-23.517602239554883,-25.872130188788397,-25.92538117690625,-24.007653032614996,-26.43119630889758
0.1,-21.16307429032137,-25.790203828468407,-25.84861979272724,-21.952482785455327,-25.62212965357627
