gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-116.80759278578884,-116.83095740243567,-116.8309620270926,-116.83058972684385,-116.83096022840579
0.0002,-116.78422816914201,-116.83094360084674,-116.8309619257833,-116.82948710748582,-116.83094765937429
0.0005,-116.71416186450476,-116.83084895757426,-116.83096023294428,-116.82200487525839,-116.83074300785131
0.001,-116.59747477143526,-116.83052416813084,-116.83094758574993,-116.79677972360956,-116.82928344438845
0.002,-116.36442537473968,-116.82932591059752,-116.83084695686665,-116.7061023422183,-116.81864800136589
0.005,-115.6676164500579,-116.82285445406487,-116.82923224274185,-116.22145778433944,-116.68310002191758
0.01,-114.51237844605186,-116.81141247392122,-116.81895258597649,-114.60685477132341,-116.06281078166464
0.02,-112.21334441818445,-116.8266127923773,-116.77529055079805,-112.31222902010877,-116.4855199322629
0.03,-109.91312551128553,-116.9016001105362,-116.75430369685819,-110.09080127113893,-114.55638026533403
0.05,-105.27029765954359,-117.0933170338498,-116.89842844940858,-105.72039704568114,-110.37907131128621
0.1,-93.44727828523722,-117.05113850519551,-117.55606606577928,-94.16443857651105,-101.38197455984252
