gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-213.87544453093653,-213.92003696302885,-213.92005476403972,-213.91874619148777,-213.92004348562872
0.0002,-213.83085209884422,-213.91998404749032,-213.9200540812226,-213.91490923324324,-213.91996512114093
0.0005,-213.69718024277378,-213.91962697926365,-213.92004255488234,-213.8894866138227,-213.91871090561315
0.001,-213.4747335062839,-213.91844256467155,-213.91995503311182,-213.8074240529155,-213.91005091594752
0.002,-213.03102444789627,-213.91441348073874,-213.91924069921845,-213.53410436083104,-213.85106603837374
0.005,-211.70754531907733,-213.90005407793382,-213.90752205098306,-211.9118558382898,-213.2387088684171
0.01,-209.51503656022084,-213.92851900416431,-213.84323379195916,-209.7379823834264,-213.58511267685265
0.02,-205.10155411627736,-214.296997542593,-213.77426598186628,-205.63807500778697,-209.86425696980064
0.03,-200.56917384821185,-214.80643306505848,-214.12441435472113,-201.71013731432916,-206.13549636646493
0.05,-191.14670460835063,-214.73836867763606,-216.92576485732343,-193.78293078449258,-199.9381339720448
0.1,-167.55504053906185,-222.20254744639072,-213.71009907712022,-171.33184144324306,-186.0809009100465
