gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-29.203046210238757,-29.203200773724447,-29.20320086003744,-29.20320027784748,-29.203200859377958
0.0002,-29.20289164675207,-29.20320051490073,-29.203200859886692,-29.203198536646422,-29.203200854630268
0.0005,-29.202428473860728,-29.20319870596258,-29.203200857444145,-29.20318643955266,-29.203200775947817
0.001,-29.201658241759365,-29.203192264873284,-29.20320083863278,-29.20314384016524,-29.20320019506347
0.002,-29.2001242186444,-29.20316665512872,-29.20320068067717,-29.202977933127908,-29.2031956642271
0.005,-29.195573276419882,-29.202990689281872,-29.203197678160876,-29.201897474120408,-29.20312520599281
0.01,-29.188155863557892,-29.20238847356199,-29.203170284198578,-29.198509232962618,-29.202662169074223
0.02,-29.173923253553795,-29.200241444525755,-29.202874491296086,-29.18772157811706,-29.199767734127533
0.03,-29.160435027220263,-29.197380817790634,-29.201836207994276,-29.173888979407728,-29.19388636177556
0.05,-29.135329763290095,-29.19305377113288,-29.19483001591871,-29.425627817324937,-29.174477894907696
0.1,-29.077605755447024,-29.24055858440481,-29.1205408329769,-29.410045670709405,-33.58170059220958
