gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-56.8064994063769,-56.81374038851524,-56.813741135495945,-56.81369193346085,-56.81374103062102
0.0002,-56.79925842423856,-56.81373815606064,-56.81374112361911,-56.81354516970153,-56.81374028806736
0.0005,-56.7775399359489,-56.81372275898151,-56.81374092617713,-56.812532017405694,-56.81372803087772
0.001,-56.74135711291629,-56.81366930358215,-56.813739465106124,-56.809006405603505,-56.81363840441077
0.002,-56.66904492225043,-56.81346703488222,-56.81372802132384,-56.79557668092312,-56.81295215886264
0.005,-56.4525064177562,-56.812265743092624,-56.81354880414327,-56.712983336159326,-56.80283444503727
0.01,-56.09274709241977,-56.809282829190494,-56.81237424966548,-56.47738292992582,-56.74249084632442
0.02,-55.37621135564905,-56.80538280009675,-56.80539598929175,-55.82323215536359,-56.42807825231041
0.03,-54.6616239847765,-56.810825761377636,-56.79280464466075,-54.93060609644664,-58.02454510722186
0.05,-53.230996439824864,-56.860576442083776,-56.76434977260283,-53.63119900515109,-57.62268168524482
0.1,-49.60141643756595,-57.10208815882133,-56.885285107394395,-50.18124340684715,-55.47881733669392
