gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,30.617283786449562,30.623125961459763,30.623126134659927,30.62310412032406,30.623126109807863
0.0002,30.611441611440707,30.62312544178314,30.623126134666023,30.62303827555342,30.623125936183257
0.0005,30.59391612576251,30.623121804100037,30.6231261346705,30.622580709847288,30.623123051187576
0.001,30.56471044742548,30.623108812651914,30.623126134223625,30.6209687547155,30.623101704079428
0.002,30.50631208219842,30.623056853492454,30.62312612514272,30.61468657008408,30.622934444294643
0.005,30.331220898093125,30.622693486321122,30.623125709812953,30.57372061662932,30.62030163832691
0.01,30.039748309863835,30.621400941430007,30.623119145818123,30.445121084838416,30.602664262723366
0.02,29.458095678297514,30.61631177607087,30.623015783264066,30.03564334297117,30.489366607282467
0.03,28.878149628511263,30.60810874605647,30.622585832255254,29.50976849540233,30.254596115099645
0.05,27.723243831029595,30.58401793832708,30.619336257213988,27.629042930406438,31.186856736383298
0.1,24.862469723729884,30.504738281630804,30.581077026761285,24.62001019034348,29.569605154101946
