gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,107.83153655171265,107.85221233846777,107.8522107873273,107.85191273346041,107.85220946297682
0.0002,107.81086076495896,107.85221699429607,107.85221078394568,107.85102904292116,107.85220027365963
0.0005,107.7488240911179,107.85224964955697,107.85221072932995,107.84501609923979,107.85205040946191
0.001,107.64539853267888,107.85236668753556,107.85221034712748,107.82464114056897,107.85097832202892
0.002,107.43843037782098,107.85283767066632,107.8522076972244,107.75070343721765,107.8431158271561
0.005,106.81658254652906,107.8561735880021,107.85218260472595,107.3461894507171,107.74076188053755
0.01,105.77699150505074,107.86814957383893,107.85222918420811,105.72241511747413,107.25186316398147
0.02,103.68583343626051,107.91415842720278,107.85519537595422,103.55819130789347,108.16566542881765
0.03,101.57904132219687,107.9823651538227,107.86855434114682,101.40210387013406,106.66267214054642
0.05,97.32252924021391,108.13497268633765,107.9654595656132,97.08380777770672,103.005206052572
0.1,86.51008579409017,108.14212335342926,108.5266353590778,85.9283716071007,94.62855155924564
