gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,103.89752508294217,103.90543984535103,103.90543666380154,103.9053415930949,103.90543629646412
0.0002,103.88961032053298,103.90544943348185,103.90543660302711,103.90505932673325,103.90543368715817
0.0005,103.86584682245552,103.9055177157183,103.90543561114043,103.90313253007888,103.90539110289112
0.001,103.82617592919165,103.90576915197153,103.90542851326973,103.89656346050026,103.90508601749396
0.002,103.74658270641063,103.90682893707245,103.90537665920965,103.87244110124261,103.90284049864201
0.005,103.5056551957078,103.91510757543901,103.90473630055595,103.7362217911352,103.8731540973266
0.01,103.0962028159766,103.94813324578878,103.9026395294843,103.39068171694788,103.72538559980653
0.02,102.24427238616441,104.08024325542881,103.91399778256516,102.28780900372827,106.43364207030382
0.03,101.34706763564219,104.26005693349077,103.9813771998746,101.18977512622311,106.89452401541732
0.05,99.43477504730267,104.58376763817124,104.28721825419291,98.4395670967798,107.0038653139928
0.1,94.28578245643409,107.70969705409922,115.13168015753945,88.43440904761833,107.51546502323956
