gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-36.93923775628298,-36.94007347073533,-36.94007369638689,-36.94006973478702,-36.940073690331836
0.0002,-36.93840204183141,-36.940072794798425,-36.940073694875096,-36.94005789927767,-36.94007364654029
0.0005,-36.9358962494728,-36.940068092840185,-36.940073669556256,-36.939975891439204,-36.94007292156185
0.001,-36.93172440610513,-36.94005149666352,-36.940073482654114,-36.93968853943294,-36.94006759376218
0.002,-36.923397315546175,-36.93998658548042,-36.940072026227284,-36.938579782155315,-36.94002639797424
0.005,-36.89854504447816,-36.939559384367215,-36.940049391138174,-36.93153129015412,-36.939401474831584
0.01,-36.85753070458984,-36.938199492520184,-36.93989922632639,-36.91030221683369,-36.93547298306972
0.02,-36.776861916660906,-36.93385149685069,-36.93887910240531,-36.84664428377185,-36.91285706871511
0.03,-36.697738675872436,-36.92867455856859,-36.936242919969956,-36.769271482286825,-36.870959282602044
0.05,-36.54298798375716,-36.92352787708672,-36.920010965192034,-36.8786755589465,-39.903768216197484
0.1,-36.162448090427596,-37.05901289011583,-36.74920092967717,-36.40206904496126,-41.57078747018747
