gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-26.901588776188976,-26.904703294464674,-26.904703868109664,-26.904693039469908,-26.904703856636424
0.0002,-26.898474257913275,-26.904701575557922,-26.904703865277796,-26.904660647053632,-26.904703773701623
0.0005,-26.88913413928243,-26.904689598209632,-26.90470381797134,-26.904435498562005,-26.904702396207995
0.001,-26.873578680353297,-26.904647191257588,-26.904703464890403,-26.90364199396539,-26.90469221011358
0.002,-26.84251016944746,-26.904480381568142,-26.90470065204208,-26.900546930101733,-26.904612494499016
0.005,-26.749636652195168,-26.903366971339253,-26.90465425404777,-26.88031358708064,-26.90336143119741
0.01,-26.595906333051083,-26.89974779825517,-26.90431683641465,-26.81647620728852,-26.89501258454646
0.02,-26.292064867846996,-26.887872507890766,-26.901797753367447,-26.611364705902538,-26.841496793298944
0.03,-25.992420392139987,-26.87307857442846,-26.8956424460213,-26.345619512289993,-26.730143344168734
0.05,-25.40290889148351,-26.846901639304615,-26.870463476099985,-26.07063659884888,-26.35347213986205
0.1,-23.958916143664364,-29.10898985251842,-20.040011463565797,-25.218068258742505,-28.30019049980984
