gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-35.54934780760981,-35.55271582907083,-35.55271620121674,-35.552702442529146,-35.55271618167518
0.0002,-35.54597978614935,-35.5527147118149,-35.55271620233201,-35.552661321368944,-35.55271604642586
0.0005,-35.53587795691942,-35.55270686941309,-35.55271622076769,-35.552376071887224,-35.55271380562094
0.001,-35.519049044426545,-35.55267871954672,-35.55271635384865,-35.55137446162082,-35.55269730862404
0.002,-35.48541936930618,-35.552565095960695,-35.55271734549207,-35.547494414551515,-35.552569301901855
0.005,-35.38475813738756,-35.55175271308737,-35.552730437502916,-35.522571162831234,-35.55060795921533
0.01,-35.21776356168775,-35.54877515778493,-35.55278194303304,-35.446152467685266,-35.53805437986453
0.02,-34.88675196559056,-35.5368382469552,-35.552506992708004,-35.210422376618816,-35.46331221728057
0.03,-34.55975023168877,-35.518336543903956,-35.54981109897733,-34.91570339737663,-35.31942702563662
0.05,-33.91725892601165,-35.47498381797038,-35.52468513369175,-34.969493054323415,-37.192225801001854
0.1,-32.35953403405222,-40.83697582739377,-30.2326007436929,-31.12061226293352,-37.67217288113622
