gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-11.617782842966061,-11.62111927691917,-11.621119328516343,-11.621113760076806,-11.621119326059258
0.0002,-11.61444640901184,-11.621119122148047,-11.62111932846997,-11.62109707442021,-11.621119308850568
0.0005,-11.604437416670923,-11.621118039419907,-11.62111932793687,-11.620980608469502,-11.621119021666308
0.001,-11.587756793921107,-11.621114176802559,-11.621119323830854,-11.620566893356914,-11.621116880173917
0.002,-11.554399411040777,-11.621098759144356,-11.621119290990318,-11.618929016614555,-11.621099845785103
0.005,-11.454358078904852,-11.620991477598537,-11.621118736198671,-11.60778746485153,-11.620819835891492
0.01,-11.287724680212008,-11.620612703439013,-11.621114518695823,-11.570084067768343,-11.618790221170572
0.02,-10.954836656984725,-11.619131864247183,-11.621079869214459,-11.43391884105571,-11.60358174257762
0.03,-10.6224455527337,-11.616737368545262,-11.620983522424872,-11.233956844976257,-11.565682229807665
0.05,-9.959114255307316,-11.609457835141933,-11.620474853654844,-10.704407489913093,-11.398676506161607
0.1,-8.308770675473534,-11.579650423085717,-11.61596818903919,-8.2779558816751,-11.688054517334967
