gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-48.464195247684216,-48.47146168387748,-48.4714625536071,-48.471423272559015,-48.47146248963483
0.0002,-48.45692881149108,-48.47145908101371,-48.47146254475146,-48.471305945324474,-48.471462034443526
0.0005,-48.43513470358323,-48.47144103239332,-48.47146239776205,-48.470493396967704,-48.47145449398686
0.001,-48.39882837477238,-48.471377713457024,-48.471461313131044,-48.46764904580764,-48.47139900449816
0.002,-48.32627903608654,-48.471132988728606,-48.47145286250128,-48.456695689807574,-48.47096887117694
0.005,-48.10911570305456,-48.469577289711964,-48.47132210706131,-48.387478816300046,-48.46440526748938
0.01,-47.748654116396196,-48.46496811724617,-48.47047617597882,-48.18152620192685,-48.42287906114824
0.02,-47.032340115546475,-48.452299971379915,-48.46546294352753,-47.577415379024465,-48.18401914848214
0.03,-46.320714816111256,-48.43984518896862,-48.45621709880196,-46.47128611652922,-47.748217102782235
0.05,-44.90627129165789,-48.425626859474846,-48.43086550661012,-45.14138504905222,-48.96212925172641
0.1,-41.3869157238405,-48.47274225850625,-48.366586595220525,-41.66606651933543,-46.68191259017986
