gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-8.138672311155204,-8.140144463684832,-8.140144480846544,-8.140142924718864,-8.140144480325265
0.0002,-8.137200158625856,-8.140144412200746,-8.140144480846129,-8.14013826048138,-8.140144476708139
0.0005,-8.132783804005888,-8.140144051787177,-8.140144480873541,-8.14010568097166,-8.14014441632424
0.001,-8.125423556224598,-8.140142764369758,-8.140144481088516,-8.139989795239336,-8.140143966276332
0.002,-8.11070434807944,-8.140137612936782,-8.140144482881333,-8.139529819015102,-8.14014038936459
0.005,-8.06655702754499,-8.140101516907835,-8.140144514684128,-8.13637785714406,-8.14008171300716
0.01,-7.993012538181865,-8.13997234079035,-8.140144775674685,-8.125558728072674,-8.139657481406315
0.02,-7.8460527355733785,-8.139453383269307,-8.140147150258159,-8.085375715560096,-8.136480654416808
0.03,-7.699265690849864,-8.138583215358448,-8.140154208829635,-8.024214455818438,-8.128518241046452
0.05,-7.4062126587182995,-8.135770325770507,-8.140191853076704,-7.853354206176989,-8.09257314516299
0.1,-6.676654991666218,-8.12232349992554,-8.140401979524844,-7.252949348908557,-7.859857794596945
