gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-69.49390641277047,-69.50472912749062,-69.5047304479983,-69.50463846182896,-69.50473021302972
0.0002,-69.4830836980509,-69.50472518821165,-69.50473041684992,-69.50436439219875,-69.50472854566803
0.0005,-69.45062341467825,-69.50469821521435,-69.50472990131257,-69.5024777047469,-69.50470106255472
0.001,-69.39654861414103,-69.50460587221457,-69.50472611619784,-69.49594663640937,-69.50450063977594
0.002,-69.2884913560689,-69.50426616678729,-69.50469694251345,-69.47131235722719,-69.50297448558995
0.005,-68.96498263400214,-69.50242039389784,-69.50426311476818,-69.3236440508653,-69.480867361952
0.01,-68.42754487410728,-69.49881078754473,-69.50174262870584,-68.91989351636622,-69.35385628903647
0.02,-67.35627896066943,-69.49882638878393,-69.4915946277475,-67.52574334927665,-68.74251514504935
0.03,-66.28590921674144,-69.51053236196947,-69.48636635459954,-66.41468760560248,-70.22149747748311
0.05,-64.13880050227228,-69.53705210020689,-69.52015216108757,-64.13055654592813,-69.15794988662442
0.1,-58.74054890433765,-69.5133667323496,-69.55173129423792,-58.07994137133641,-65.78035940007028
