gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-51.215789164961166,-51.222505618446135,-51.22250634344201,-51.22246517832649,-51.22250626629572
0.0002,-51.20907271147579,-51.22250344979495,-51.22250633458799,-51.22234230319076,-51.22250571956081
0.0005,-51.18892768326142,-51.2224884411837,-51.222506186783875,-51.221492650800805,-51.22249667688641
0.001,-51.15536692533914,-51.222435991759056,-51.222505085355465,-51.21852691500023,-51.222430321027176
0.002,-51.08829785891922,-51.22223497114837,-51.222496335892146,-51.20716606848206,-51.22191877446732
0.005,-50.88748771886912,-51.22099581681429,-51.22235322647842,-51.13631161445445,-51.214232745204356
0.01,-50.55397962092395,-51.217662345362015,-51.221330502051416,-50.92977047781422,-51.16689929921332
0.02,-49.89029689648588,-51.212010032353795,-51.21407747865618,-50.340076612873666,-50.90701559162849
0.03,-49.22918189776503,-51.21621338696718,-51.19825204519083,-49.83147535952464,-51.90563585775962
0.05,-47.90672584315795,-51.27347916138059,-51.15728502066116,-48.41121639465196,-51.557319172266034
0.1,-44.53997252493531,-51.54303141786651,-51.343877881115006,-45.003362222978865,-49.46975245147648
