gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-34.36896182998103,-34.373706461338685,-34.37370674271334,-34.37368725322104,-34.373706717674395
0.0002,-34.36421719862242,-34.3737056172287,-34.373706742664396,-34.37362898439933,-34.37370654280282
0.0005,-34.349984992738214,-34.37369970932005,-34.37370674192519,-34.373224467657856,-34.37370364110192
0.001,-34.32627027615638,-34.37367861665744,-34.37370673437701,-34.371802018530076,-34.37368222129134
0.002,-34.278861935655314,-34.37359432125914,-34.373706647153256,-34.36627720906489,-34.37351515804988
0.005,-34.1368054476791,-34.37300675615602,-34.373703945006824,-34.33055940479316,-34.370918760287985
0.01,-33.900604139202,-34.37093831999597,-34.37366804326692,-34.21997629146748,-34.35390044980215
0.02,-33.430269958408026,-34.36307484990379,-34.37316274943974,-33.87471142144038,-34.248577213023275
0.03,-32.9626065252185,-34.35128204468025,-34.37118420622154,-33.43907595882037,-34.038349591973535
0.05,-32.03465130504848,-34.32302431235167,-34.35728582251346,-32.11348810450793,-35.3371098864126
0.1,-29.746278297745285,-34.30886631566247,-34.246188211076685,-29.69488519395385,-34.340932096263785
