gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-27.91189133612834,-27.90796712177644,-27.907966695657166,-27.907980555102764,-27.907966710319172
0.0002,-27.915815550481206,-27.90796839919488,-27.907966696981546,-27.90802201548673,-27.9079668141365
0.0005,-27.927585639474156,-27.907977315003855,-27.907966719451977,-27.908310236838766,-27.90796853940816
0.001,-27.947193963944457,-27.90800898186187,-27.907966887039436,-27.909326321892763,-27.90798130904129
0.002,-27.986378946027045,-27.908134311628864,-27.907968222256855,-27.913291623748716,-27.9080814224813
0.005,-28.10368399412379,-27.90898585613665,-27.907990263300064,-27.93924745073267,-27.909660330113816
0.01,-28.298382132111886,-27.911857029633847,-27.908151189314253,-28.021303887287257,-27.92028250908135
0.02,-28.68490723458908,-27.922090800669434,-27.909372147404895,-28.285686111470774,-27.98925089644805
0.03,-29.067905283207125,-27.936686663922444,-27.912448341120225,-28.629095702987993,-28.134422322245236
0.05,-29.824692601857688,-27.972379484402424,-27.925999989761152,-29.4349681852988,-28.630706265452766
0.1,-31.677005719311424,-28.054457465237554,-27.992765770186267,-30.748261635279746,-27.249716795081827
