gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-16.354045691507565,-16.353597503849254,-16.353597482856365,-16.35359837694108,-16.353597483409676
0.0002,-16.354493879165876,-16.353597566323767,-16.353597483565345,-16.353601054300288,-16.353597487945198
0.0005,-16.355838317589594,-16.353597990153386,-16.353597495111416,-16.35361970818226,-16.353597563379704
0.001,-16.358078645025802,-16.353599413814834,-16.353597580879565,-16.353685745592802,-16.35359812283063
0.002,-16.36255787623677,-16.353604429134624,-16.353598254824412,-16.35394550953011,-16.35360252612727
0.005,-16.375985920923302,-16.353626815068882,-16.353608944628952,-16.355682580733124,-16.3536727811223
0.01,-16.398345026777154,-16.353627429835274,-16.353681454530737,-16.361388309268214,-16.35415610326159
0.02,-16.443062623719864,-16.353110105201345,-16.3541541672259,-16.381015698958603,-16.35744740151315
0.03,-16.487908375222457,-16.351388166296257,-16.355123957239975,-16.408438117987256,-16.364823496649482
0.05,-16.578492496027284,-16.34311226532131,-16.357870740545465,-16.477355523536122,-16.39281785948426
0.1,-16.813872726733543,-16.299136361744882,-16.351708145297707,-13.642279667820617,-16.5216899367311
