gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-14.093567284168424,-14.093355251715481,-14.09335514131837,-14.093355519203818,-14.093355141558627
0.0002,-14.093779316621918,-14.093355582970903,-14.093355141218012,-14.093356650999675,-14.093355143152337
0.0005,-14.094414751420615,-14.093357903519996,-14.09335513972325,-14.093364542672322,-14.093355169770682
0.001,-14.095471599321783,-14.09336620284674,-14.093355128650678,-14.093392520951468,-14.0933553675214
0.002,-14.097576995796551,-14.093399487773125,-14.09335504191315,-14.093502878329009,-14.093356929640963
0.005,-14.103826566373023,-14.093634105246649,-14.093353688333075,-14.094246273800648,-14.093382113228593
0.01,-14.114019027499118,-14.094481879689896,-14.093344850685149,-14.096719438182244,-14.093558590834563
0.02,-14.133556175310284,-14.09793270105994,-14.09329386026814,-14.105400016736512,-14.094802972328411
0.03,-14.151947767536093,-14.103765196185348,-14.093217409846638,-14.117747805986333,-14.09770690192363
0.05,-14.185242227878527,-14.122504101704275,-14.093318020244794,-14.149010732364486,-14.109408974863856
0.1,-14.247980354053615,-14.204776450552464,-14.10245392382398,-15.072435626816297,-14.168593241343418
