gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,8.33745238443817,8.337575931346795,8.337575885766444,8.337575814131416,8.33757588575609
0.0002,8.337328837528432,8.337576068128135,8.337575885701291,8.337575599365113,8.33757588561351
0.0005,8.336957923203505,8.337577026665125,8.337575884802533,8.337574098703298,8.33757588328312
0.001,8.336338819741611,8.337580457048892,8.337575878100512,8.33756875730165,8.33757586593898
0.002,8.335097182434609,8.337594231745818,8.337575825338728,8.337547528540968,8.337575728760223
0.005,8.33134469123075,8.337691651129079,8.337574987626216,8.337401500793266,8.33757350821741
0.01,8.324997731332422,8.338045795530126,8.337569305462953,8.336896193012159,8.337557822390773
0.02,8.311949667134718,8.339502939441546,8.33753260806677,8.334984424758428,8.337445197123754
0.03,8.298419322403426,8.341997169901164,8.337460038117637,8.331991064151252,8.337175385580789
0.05,8.269872575568069,8.350165667444399,8.337300175139646,8.323157132263205,8.336026311010334
0.1,8.189579483691737,8.387668602621154,8.339677059138527,8.286648233272897,8.328915244915448
