gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-60.03435624431509,-60.03869672314728,-60.03869923636833,-60.03866573235204,-60.03869915755148
0.0002,-60.0300157654829,-60.03868918982817,-60.038699227471426,-60.03856585290457,-60.03869859973154
0.0005,-60.017009390516314,-60.038636632244646,-60.03869907439136,-60.03787734439502,-60.03868939613495
0.001,-59.995382148787385,-60.03845015652548,-60.0386978697629,-60.03548786367067,-60.038622154537904
0.002,-59.95231414105147,-60.03771439106746,-60.038687336836944,-60.026431982006095,-60.0381082229493
0.005,-59.82457538952534,-60.032794038092355,-60.038472781737795,-59.97149978874411,-60.030577132097385
0.01,-59.61635674095842,-60.01713146957283,-60.03647007107992,-59.818862885580664,-59.986293777612666
0.02,-59.215582012343326,-59.9722405220069,-60.01780875639784,-59.416747862074594,-59.76396734551661
0.03,-58.83155672821107,-59.93523242058504,-59.971041692544304,-59.712352492652826,-61.82851288043276
0.05,-58.092520492360975,-59.954894388659184,-59.83136371558277,-59.36883383044907,-62.2450814642782
0.1,-56.23014659606208,-61.0032119597759,-53.80589520655286,-58.35489193273084,-61.57233266715726
