gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,24.208690013629226,24.208126815348713,24.208126851650334,24.208128004700367,24.20812685270814
0.0002,24.20925321190974,24.208126707426654,24.20812685029871,24.208131456412588,24.208126858707054
0.0005,24.210943021806212,24.208125978808702,24.208126827162275,24.20815550286734,24.208126958307446
0.001,24.213760064803722,24.20812355741658,24.20812665401749,24.208240615016763,24.20812769761861
0.002,24.219396572190863,24.2081152589433,24.208125265345913,24.208575307177853,24.20813352450665
0.005,24.236321896822734,24.20808424807288,24.20810190600099,24.210812151004053,24.20822684027978
0.01,24.264559545572588,24.208156872086015,24.2079258061069,24.21815824583414,24.208872764081125
0.02,24.32096221905916,24.20985937924038,24.206513979717684,24.243479682382805,24.21331681530457
0.03,24.376931813910268,24.215626469406725,24.202757163448325,24.27901383332482,24.223383718725334
0.05,24.485963267917395,24.21372502181206,24.28809107971253,24.368708650883512,24.262161370239944
0.1,24.75820151402603,24.242141626445203,24.1737519724647,24.3505369651374,22.004222790784336
