gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-16.03219961130946,-16.03518482978841,-16.035184915404884,-16.035178752859537,-16.03518491153478
0.0002,-16.029214392833,-16.035184572982818,-16.035184915311838,-16.03516029626202,-16.035184884301167
0.0005,-16.020259250956595,-16.0351827773097,-16.035184913605192,-16.035031626912005,-16.03518443062757
0.001,-16.005335724606258,-16.035176377556205,-16.035184900778184,-16.03457560839146,-16.035181058596677
0.002,-15.975495071655201,-16.035150881725663,-16.035184797149334,-16.03277804467892,-16.035154403696144
0.005,-15.886024044973096,-16.03497445374588,-16.035183019910882,-16.02069080228123,-16.034723944146812
0.01,-15.737073636200314,-16.034358547952806,-16.03516919429441,-15.980610660593145,-16.031699559812388
0.02,-15.439788724447824,-16.032009131376647,-16.03505240159994,-15.840686025919187,-16.010307275388534
0.03,-15.14329811220661,-16.028343185636324,-16.03472381365414,-15.642470966263982,-15.960343149958874
0.05,-14.552564928164806,-16.017904490070457,-16.033023789097278,-15.139260668301127,-15.759861944457079
0.1,-13.087225366258592,-15.982259279925847,-16.02014869362051,-12.956378061564363,-16.666338923455104
