gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-14.619592364544902,-14.620635693544095,-14.620635689875208,-14.620633960903692,-14.620635688937947
0.0002,-14.61854903554572,-14.620635704593987,-14.62063568978926,-14.620628781620793,-14.6206356821833
0.0005,-14.615419026386101,-14.620635784102017,-14.620635687933017,-14.620592657304414,-14.620635569642566
0.001,-14.610202268669086,-14.620636082599136,-14.620635674013123,-14.620464513724995,-14.620634733138822
0.002,-14.599768454738202,-14.620637387232007,-14.6206355637758,-14.619958514976858,-14.620628120378862
0.005,-14.568464340944608,-14.62064863291705,-14.620633765491185,-14.616539516902167,-14.620521290834617
0.01,-14.516280048971906,-14.620702509008066,-14.620620922844985,-14.605096544769326,-14.619769806697098
0.02,-14.41185758893686,-14.621015383587253,-14.620527884151585,-14.564430242076325,-14.614430562318104
0.03,-14.307339629040005,-14.621718449784442,-14.620307601304752,-14.505538372545233,-14.601851856851917
0.05,-14.09791406507396,-14.624704565602405,-14.619451969230973,-14.35130335686893,-14.550316408399386
0.1,-13.571123564545795,-14.642862612131442,-14.617370543124196,-13.886077995454704,-14.277061332547461
