gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-36.71908166274573,-36.7301417496206,-36.73014654662833,-36.73008005213009,-36.73014644624984
0.0002,-36.70802157587169,-36.73012736953993,-36.730146531279715,-36.72988138074355,-36.730145729396625
0.0005,-36.674870066619285,-36.730027008089415,-36.730146273608284,-36.72850452107911,-36.73013380067184
0.001,-36.619713125151335,-36.7296705931206,-36.73014433717907,-36.723679181948,-36.730045322301606
0.002,-36.50975565718138,-36.72826050399471,-36.730128704099386,-36.70506612684649,-36.72934933932525
0.005,-36.18269446090937,-36.71869750961267,-36.729861517494,-36.58728143754016,-36.71833094290091
0.01,-35.64669141220541,-36.68666624586067,-36.72780497770016,-36.238843625359245,-36.645059210868716
0.02,-34.60671657854911,-36.57523926866444,-36.71098215712324,-35.023091525091765,-36.20346189813768
0.03,-33.605487372433714,-36.42448364438998,-36.666170896717944,-34.25957295926489,-36.562519738361054
0.05,-31.700067870575662,-39.90020580753887,-44.89699109844645,-32.91438928422261,-35.31479360883812
0.1,-23.49992993361246,-36.4599909792733,-38.16395770262687,-30.507417902792387,-32.19268740289691
