gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-71.81308048435989,-71.81704309853484,-71.81704241118737,-71.81700886686977,-71.8170423205115
0.0002,-71.80911787018485,-71.81704516180538,-71.81704240949418,-71.81690895439664,-71.81704168776221
0.0005,-71.79722590016488,-71.81705963683032,-71.81704238221471,-71.81622158504156,-71.81703127664716
0.001,-71.77739216349899,-71.81711154080757,-71.81704218845363,-71.81384452551201,-71.81695558450639
0.002,-71.73767278618939,-71.81732061761065,-71.81704079863502,-71.80489074955186,-71.81638244874544
0.005,-71.61809575080622,-71.81880632342636,-71.81702501676696,-71.75125977582084,-71.80819160425838
0.01,-71.41738517818608,-71.82418344941419,-71.8169985479467,-71.60389193950469,-71.76186170373663
0.02,-71.01058690695797,-71.84532599936401,-71.81774722430379,-71.29089255987078,-71.54011695395891
0.03,-70.59666470763591,-71.87864368838153,-71.82045897225416,-70.92155755113372,-74.75532486892526
0.05,-69.74843598259194,-71.9779102469003,-71.82733554611937,-70.04236662529429,-75.53684750210661
0.1,-67.51896171828359,-72.32881584539582,-72.01024570832979,-67.06692213903047,-76.48815597043502
