gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-91.42830780745925,-91.44548401651795,-91.44549148425179,-91.44529745184718,-91.44549086392396
0.0002,-91.41113159840054,-91.44546166357668,-91.44549141384462,-91.44472032993461,-91.4454864753646
0.0005,-91.35964763682813,-91.44530656625174,-91.44549022874307,-91.44076404344258,-91.44541419402242
0.001,-91.27398870740447,-91.44476196772159,-91.44548126089725,-91.42717714191097,-91.44488795788023
0.002,-91.10321544708673,-91.44265610891496,-91.44540812529033,-91.3767066065286,-91.44089845200726
0.005,-90.59506527041847,-91.4293640841118,-91.44414718454672,-91.08637725043954,-91.38426825132517
0.01,-89.76076645672583,-91.39171842532308,-91.43485270634332,-90.34688200693934,-91.0770237689798
0.02,-88.12981448812684,-91.30783124409568,-91.3756068784817,-88.65673837201413,-91.64204717073645
0.03,-86.5323341558448,-91.26491771465686,-91.28068101873805,-87.27986944214216,-90.71832485458441
0.05,-83.37661390781929,-91.31816421394738,-91.17107222613461,-84.54122663197192,-88.28462186371725
0.1,-75.4350636016912,-88.8935956145439,-124.21708523086772,-77.4406649449484,-82.15960785681865
