gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-123.01662918197101,-123.03953667232508,-123.03954871197567,-123.03917783165393,-123.03954703705327
0.0002,-122.99372169161694,-123.03950077366417,-123.03954840376662,-123.03807865798696,-123.039535097989
0.0005,-122.92507084198775,-123.03925544534762,-123.039543292357,-123.03060953933888,-123.03933975579102
0.001,-122.81088623862682,-123.03841890126719,-123.03950562860098,-123.00537199066737,-123.03793492176962
0.002,-122.58335357598699,-123.03536884940387,-123.03921374738508,-122.91436480647755,-123.02754720139053
0.005,-121.90669172347062,-123.01935884883692,-123.03485965228691,-122.42660013858077,-122.89099855524124
0.01,-120.79402459810431,-122.99159334263722,-123.0106279374723,-121.34949619446785,-122.24919321554502
0.02,-118.59645585357141,-123.00487540380617,-122.93732576985457,-119.359562496486,-122.68316941228738
0.03,-116.40068978269979,-123.09215875010028,-122.93678093950643,-117.50896268503384,-121.25720095707007
0.05,-111.95632110532195,-115.32628663221318,-187.31307977269432,-113.99118647954145,-118.52539942741632
0.1,-108.58635557843071,-132.8420619705554,-130.9209619309534,-105.09764943072733,-113.43726232374965
