gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-6.346041554804698,-6.346099646155922,-6.34609966657646,-6.346099615386155,-6.346099666565017
0.0002,-6.345983463453341,-6.3460995849097435,-6.34609966655443,-6.346099461926553,-6.346099666458392
0.0005,-6.345809311878302,-6.346099156654642,-6.346099666159343,-6.346098389762138,-6.3460996646949
0.001,-6.345519467101962,-6.346097630296619,-6.346099663159375,-6.346094574352633,-6.346099651534295
0.002,-6.344941303907305,-6.346091548754105,-6.346099639294039,-6.346079417365679,-6.346099546893616
0.005,-6.343218963782899,-6.346049439932476,-6.346099243102756,-6.3459753200164215,-6.3460978279114295
0.01,-6.340388487633322,-6.345902126460745,-6.346096317230764,-6.34561658925026,-6.346085367190962
0.02,-6.3348748488058995,-6.345335959157465,-6.346073486891843,-6.344275696904404,-6.345991565194561
0.03,-6.329552102664008,-6.344439410331097,-6.346013382617198,-6.342222406880017,-6.34575491512456
0.05,-6.319453381918385,-6.341798638150007,-6.34571930041157,-6.336461825375771,-6.344674605129454
0.1,-6.297108125686763,-6.331729814991346,-6.34343084362057,-6.316488019767201,-6.3375046864086295
