gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-52.708583384429936,-52.71870915724392,-52.718710051613186,-52.71863724120794,-52.71870988778162
0.0002,-52.69845761161595,-52.71870647659401,-52.71871004815671,-52.718420115363756,-52.71870874289894
0.0005,-52.66808565251519,-52.71868777856139,-52.71870999108765,-52.716922125468216,-52.71868984800075
0.001,-52.617483526470146,-52.718621442916614,-52.718709569620245,-52.71171528524964,-52.71855172843819
0.002,-52.51634561002263,-52.71835942509749,-52.71870628264955,-52.69192550709786,-52.71749490522466
0.005,-52.213454041993735,-52.71658651726956,-52.718655437732025,-52.57097456952269,-52.70195324672639
0.01,-51.71032156671764,-52.710622535831675,-52.71832691025156,-52.22985157017182,-52.60988243316834
0.02,-50.71002059760258,-52.68906450991194,-52.71625021401127,-50.652687021503105,-52.13882745419243
0.03,-49.71710042843475,-52.65723494676552,-52.71113269834828,-49.59894504050992,-53.38988001510579
0.05,-47.75111367160596,-52.576903329795115,-52.681304277549245,-47.51901740253954,-52.11722924171838
0.1,-42.925324013415,-58.44206993090326,-48.36305400334135,-42.551600821255334,-46.8242808093719
