gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-36.97649917348552,-36.97897510304414,-36.97897558050242,-36.97896441693478,-36.9789755631427
0.0002,-36.9740232439269,-36.97897367186552,-36.97897557884197,-36.97893106575169,-36.978975440325286
0.0005,-36.96659831664623,-36.97896368646868,-36.97897555051749,-36.97869996514654,-36.9789734073763
0.001,-36.954232946823886,-36.9789282452457,-36.97897533932489,-36.97789012160688,-36.978958471971325
0.002,-36.92953764840146,-36.97878816694686,-36.9789736549851,-36.974764712424005,-36.978843047446915
0.005,-36.85573094840588,-36.97784025248598,-36.97894561878837,-36.95488431638898,-36.97709436741463
0.01,-36.733621644326746,-36.97467458671625,-36.978734362922964,-36.89493117952851,-36.96612078264254
0.02,-36.49256870193823,-36.963747430318556,-36.97695567163262,-36.714737039138164,-36.90305150838307
0.03,-36.25532830758215,-36.94942130243153,-36.97174218136303,-36.49534090169927,-36.786245809341615
0.05,-35.790214470180445,-36.92489480027112,-36.943084956226855,-35.726253981588044,-39.224094775223705
0.1,-34.655534140089905,-38.70295010581624,-31.707651451029363,-34.056114351591326,-39.78072058343283
