gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-32.993569458488736,-32.99418567032171,-32.99418545353154,-32.99418330124841,-32.99418545061228
0.0002,-32.99295324665532,-32.9941863191376,-32.99418545568457,-32.994176866161396,-32.99418543234461
0.0005,-32.99110331474793,-32.994190819308514,-32.99418549137562,-32.99413217163898,-32.99418512904797
0.001,-32.98801581018735,-32.99420661296515,-32.99418575738504,-32.993974864174064,-32.99418289204567
0.002,-32.98182500740955,-32.99426766814963,-32.99418786964536,-32.9933627188855,-32.99416547013838
0.005,-32.96313169086447,-32.99465459588007,-32.994222246306194,-32.9893804510724,-32.993895686199984
0.01,-32.93160878584887,-32.995776889370475,-32.99446266147194,-32.976868970642634,-32.9921350417757
0.02,-32.86744068232727,-32.998537193499565,-32.99602298084052,-32.93644500708401,-32.98123596329683
0.03,-32.802206703322966,-33.000470339861586,-32.998787965828114,-32.882934186359975,-32.959180154894376
0.05,-32.670184370205654,-33.00182779809562,-32.99981974941119,-32.51588256395486,-32.88540757185624
0.1,-32.33854094231585,-33.27085419686843,-33.37315003560384,-31.428463035358646,-37.79396871632871
