gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-53.0173183171509,-53.03032023255112,-53.030323178176985,-53.03025022324587,-53.030323081243935
0.0002,-53.004316401750685,-53.03031140390247,-53.030323166656984,-53.03003214156162,-53.0303223916148
0.0005,-52.96532830626365,-53.0302498277114,-53.030322973184354,-53.0285189378138,-53.03031088540171
0.001,-52.900406784814614,-53.03003143239309,-53.0303215125285,-53.023204082766156,-53.030225136301866
0.002,-52.770782137235486,-53.02916965077285,-53.03030962247425,-53.00262141982199,-53.029544664735624
0.005,-52.3836249085293,-53.023373972573324,-53.03010210760189,-52.871135930060625,-53.01852790855626
0.01,-51.743875844485274,-53.00435002071806,-53.02845925228834,-52.476695017874526,-52.942860539884855
0.02,-50.48340166825249,-52.94179261884901,-53.01472070110725,-50.713637836623576,-52.46765386774831
0.03,-49.24509018267183,-52.86582421881016,-52.978853683041024,-49.49361589692111,-52.49542510720531
0.05,-46.81930461650986,-53.24113497572244,-51.346963355330075,-47.11735260223194,-50.57133249650784
0.1,-40.39747425729285,-53.59799446870207,-75.84698217353707,-41.55826134607999,-44.48271703985109
